college_id,college_name,naac_grade,found
1036,"Aditya Education Trust's Mitthulalji Sarada Polytechnic, Nalwandi Road, Beed",,no
895,"Amruta Vaishnavi Education & Welfare Trust's Shatabdi Institute of Engineering & Research, Agaskhind Tal. Sinnar",,no
905,"College of Engineering and Technology ,North Maharashtra Knowledge City, Jalgaon",A+,yes
759,"CSMSS Chh. Shahu College of Engineering, Aurangabad",A++,yes
863,"Cummins College of Engineering For Women, Sukhali (Gupchup), Tal. Hingna Hingna Nagpur",A+,yes
947,"D.Y. Patil College of Engineering and Technology, Kolhapur",C,yes
1016,"D.Y.Patil Education Society's,D.Y.Patil Technical Campus, Faculty of Engineering & Faculty of Management,Talsande,Kolhapur.",A+,yes
945,"Dattajirao Kadam Technical Education Society's Textile & Engineering Institute, Ichalkaranji.",A+,yes
994,"Dattakala Group Of Institutions, Swami - Chincholi Tal. Daund Dist. Pune",B++,yes
740,"Deogiri Institute of Engineering and Management Studies, Aurangabad",C,yes
917,"Department of Technology, Shivaji University, Kolhapur",A++,yes
973,"Dhole Patil Education Society, Dhole Patil College of Engineering, Wagholi, Tal. Haveli",A+,yes
811,"Dilkap Research Institute Of Engineering and Management Studies, At.Mamdapur, Post- Neral, Tal- Karjat, Mumbai",B+,yes
1022,"Dnyanshree Institute Engineering and Technology, Satara",B+,yes
795,"Don Bosco Institute of Technology, Mumbai",C,yes
1031,"Dr. A. D. Shinde College Of Engineering, Tal.Gadhinglaj, Kolhapur",C,yes
970,"Dr. Ashok Gujar Technical Institute's Dr. Daulatrao Aher College of Engineering, Karad",C,yes
762,"Dr. Babasaheb Ambedkar Technological University, Lonere",A+,yes
1030,"Dr. D Y Patil Pratishthan's College of Engineering, Kolhapur",C,yes
954,"Dr. D. Y. Patil Pratishthan's D.Y.Patil College of Engineering Akurdi, Pune",A++,yes
940,"Dr. D. Y. Patil Unitech Society's Dr. D. Y. Patil Institute of Technology, Pimpri, Pune",A++,yes
1044,"Dr. D.Y. Patil Technical Campus, Varale, Talegaon, Pune",A++,yes
1024,"Dr. D.Y.Patil Institute of Engineering, Management & Reseach, Akurdi, Pune",A++,yes
959,"Dr. J. J. Magdum Charitable Trust's Dr. J.J. Magdum College of Engineering, Jaysingpur",C,yes
1045,Dr. V.K. Patil College of Engineering & Technology,A+,yes
882,"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",A+,yes
1029,"Dr.D.Y.Patil College Of Engineering & Innovation,Talegaon",A++,yes
722,"Dr.Rajendra Gode Institute of Technology & Research, Amravati",A++,yes
723,"Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshri Shahu College of Engineering, Buldhana",C,yes
737,"Everest Education Society, Group of Institutions (Integrated Campus), Ohar",A+,yes
797,"Excelsior Education Society's K.C. College of Engineering and Management Studies and Research, Kopri, Thane (E)",C,yes
1005,"Fabtech Technical Campus College of Engineering and Research, Sangola",C,yes
775,"Fr. Conceicao Rodrigues College of Engineering, Bandra,Mumbai",C,yes
880,"G H Raisoni Institute of Engineering and Business Management, Jalgaon",C,yes
739,"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",B+,yes
926,"G.H.Raisoni College of Engineering & Management, Wagholi, Pune",A+,yes
817,"G.M.Vedak Institute of Technology, Tala, Raigad.",B+,yes
922,"Genba Sopanrao Moze College of Engineering, Baner-Balewadi, Pune",A+,yes
919,"Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering,Wagholi, Pune",C,yes
802,"Gharda Foundation's Gharda Institute of Technology,Khed, Ratnagiri",A+,yes
888,"Godavari Foundation's Godavari College Of Engineering, Jalgaon",C,yes
893,"Gokhale Education Society's, R.H. Sapat College of Engineering, Management Studies and Research, Nashik",B++,yes
862,"Gondia Education Society's Manoharbhai Patel Institute Of Engineering & Technology, Shahapur, Bhandara",C,yes
913,"Government College of Engineering & Research, Avasari Khurd",C,yes
710,"Government College of Engineering, Amravati",A+,yes
733,"Government College of Engineering, Aurangabad",C,yes
826,"Government College of Engineering, Chandrapur",B+,yes
868,"Government College of Engineering, Jalgaon",B+,yes
914,"Government College of Engineering, Karad",A++,yes
1041,"Government College of Engineering, Kolhapur",A+,yes
828,"Government College of Engineering, Nagpur",B++,yes
765,"Government College of Engineering, Ratnagiri",B++,yes
712,"Government College of Engineering,Yavatmal",A+,yes
756,GRAMIN TECHNICAL AND MANAGEMENT CAMPUS NANDED.,A++,yes
911,"Guru Gobind Singh College of Engineering & Research Centre, Nashik.",B+,yes
835,"Guru Nanak Institute of Engineering & Technology,Kalmeshwar, Nagpur",A+,yes
859,"Gurunanak Educational Society's Gurunanak Institute of Technology, Nagpur",A++,yes
807,"Haji Jamaluddin Thim Trust's Theem College of Engineering, At. Villege Betegaon, Boisar",B+,yes
748,"Hi-Tech Institute of Technology, Aurangabad",C,yes
887,"Hindi Seva Mandal's Shri Sant Gadgebaba College of Engineering & Technology, Bhusawal",,no
978,"Holy-Wood Academy's Sanjeevan Engineering and Technology Institute, Panhala",,no
897,"Hon. Shri. Babanrao Pachpute Vichardhara Trust, Group of Institutions (Integrated Campus)-Parikrama, Kashti Shrigondha",B++,yes
788,"Hope Foundation and research center's Finolex Academy of Management and Technology, Ratnagiri",B++,yes
820,"Ideal Institute of Technology, Wada, Dist.Thane",A++,yes
825,"Indala College Of Engineering, Bapsai Tal.Kalyan",,no
932,"Indira College of Engineering & Management, Pune",A++,yes
764,"Institute of Chemical Technology, Matunga, Mumbai",A++,yes
736,"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna",A++,yes
757,International Centre Of Excellence In Engineering and Management (ICEEM),C,yes
1003,"International Institute of Information Technology (I²IT), Pune.",B++,yes
992,ISBM College Of Engineering Pune,B++,yes
875,"Jagadamba Education Soc. Nashik's S.N.D. College of Engineering & Reserch, Babulgaon",B++,yes
725,"Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha College of Engineering and Technology, Yavatmal",A+,yes
860,"Jai Mahakali Shikshan Sanstha, Agnihotri College of Engineering, Sindhi(Meghe)",,no
839,"Jaidev Education Society, J D College of Engineering and Management, Nagpur",A,yes
991,"Jaihind College Of Engineering,Kuran",A+,yes
898,"Jamia Institute Of Engineering And Management Studies, Akkalkuwa",A+,yes
718,"Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad",C,yes
768,"Jawahar Education Society's Annasaheb Chudaman Patil College of Engineering,Kharghar, Navi Mumbai",C,yes
907,"Jawahar Education Society's Institute of Technology, Management & Research, Nashik.",A++,yes
720,"Jawaharlal Darda Institute of Engineering and Technology, Yavatmal",A+,yes
976,"Jayawant Shikshan Prasarak Mandal, Bhivarabai Sawant Institute of Technology & Research, Wagholi",A+,yes
977,"Jaywant College of Engineering & Polytechnic , Kille Macchindragad Tal. Walva District- Sangali",C,yes
921,"Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune",C,yes
852,"JMSS Shri Shankarprasad Agnihotri College of Engineering, Wardha",A++,yes
928,"JSPM's Imperial College of Engineering and Research, Wagholi, Pune",C,yes
923,"JSPM'S Jaywantrao Sawant College of Engineering,Pune",B++,yes
1004,"JSPM Narhe Technical Campus, Pune.",B++,yes
796,K J Somaiya Institute of Technology,C,yes
941,"K. E. Society's Rajarambapu Institute of Technology, Walwa, Sangli",A+,yes
935,"K. J.'s Educational Institut Trinity College of Engineering and Research, Pisoli, Haveli",A+,yes
874,"K. K. Wagh Institute of Engineering Education and Research, Nashik",C,yes
846,"K.D.K. College of Engineering, Nagpur",B++,yes
858,"K.D.M. Education Society, Vidharbha Institute of Technology,Umred Road ,Nagpur",A+,yes
982,"K.J.'s Educational Institute's K.J.College of Engineering & Management Research, Pisoli",,no
904,"K.V.N. Naik S. P. Sansth's Loknete Gopinathji Munde Institute of Engineering Education & Research, Nashik.",,no
